,,,,,,,,,,,,,,,,,,
Form I-140 Immigrant Petition for Alien Worker,,,,,,,,,,,,,,,,,,
Receipts by Beneficiary Country of Birth and Employment-Based Preference,,,,,,,,,,,,,,,,,,
Fiscal Year 2022 (Q1-Q4),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,, Employment Based Preference Category ,,,,,,,,,,,,,,
,,First Preference (EB1),,            Second Preference (EB2),,,Third Preference (EB3),,,,,,,,,,,
Beneficiary Country of Birth,Alien of Extraordinary Ability (E11),Outstanding Professor or Researcher (E12),Multi-national Executive or Manager (E13),Professionals with Advanced Degrees (E21),National Interest Waiver (NIW),Skilled Worker (E31),Professionals with Baccalaureate Degrees (E32),Needed Unskilled Workers (EW3), Total ,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Total," 10,481 "," 4,322 "," 11,173 "," 62,499 "," 21,973 "," 19,946 "," 25,129 "," 9,777 "," 165,300 ",,,,,,,,,
TAJIKISTAN, 8 , -   , -   , 6 , 26 , 1 , 5 , 5 , 51 ,,,,,,,,,
ALGERIA, 9 , 2 , 4 , 10 , 5 , 1 , 1 , 18 , 50 ,,,,,,,,,
LITHUANIA, 3 , 2 , 13 , 7 , 6 , 8 , 10 , 1 , 50 ,,,,,,,,,
FRENCH POLYNESIA, 12 , 5 , -   , 15 , -   , 11 , 5 , 1 , 49 ,,,,,,,,,
MOLDOVA, 9 , -   , 4 , 8 , 6 , 8 , 9 , 3 , 47 ,,,,,,,,,
TURKMENISTAN, 3 , 1 , -   , 2 , 15 , 3 , 10 , 11 , 45 ,,,,,,,,,
CROATIA, 3 , 2 , 3 , 14 , 10 , 5 , 3 , 4 , 44 ,,,,,,,,,
NORWAY, 6 , 2 , 5 , 8 , 10 , 3 , 8 , -   , 42 ,,,,,,,,,
SLOVAKIA, 6 , 2 , 8 , 7 , 8 , 3 , 6 , 2 , 42 ,,,,,,,,,
GUYANA, -   , 1 , 2 , 9 , 3 , 15 , 4 , 7 , 41 ,,,,,,,,,
SERBIA AND MONTENEGRO, 5 , 2 , 1 , 7 , 2 , 7 , 12 , 4 , 40 ,,,,,,,,,
TANZANIA, 2 , -   , 4 , 6 , 9 , 7 , 8 , 1 , 37 ,,,,,,,,,
BURMA, 2 , -   , -   , 10 , 8 , 3 , 10 , 3 , 36 ,,,,,,,,,
NORTH MACEDONIA, 1 , 1 , -   , 5 , 3 , 5 , 4 , 17 , 36 ,,,,,,,,,
SUDAN, 3 , -   , -   , 8 , 21 , 2 , -   , 2 , 36 ,,,,,,,,,
CÔTE D'IVOIRE, -   , -   , 2 , 12 , 10 , 4 , 3 , 2 , 33 ,,,,,,,,,
RWANDA, 2 , 1 , 1 , 6 , 8 , 9 , 5 , 1 , 33 ,,,,,,,,,
AFGHANISTAN, 7 , 1 , 1 , 6 , 7 , 3 , 2 , 3 , 30 ,,,,,,,,,
BOSNIA AND HERZEGOVINA, 1 , 2 , 2 , 7 , 4 , 3 , 8 , 3 , 30 ,,,,,,,,,
OMAN, 2 , -   , -   , 14 , 6 , -   , 8 , -   , 30 ,,,,,,,,,
DOMINICA, 3 , 1 , -   , 5 , 1 , 12 , 6 , 1 , 29 ,,,,,,,,,
SAINT LUCIA, -   , -   , -   , 3 , 7 , 14 , 5 , -   , 29 ,,,,,,,,,
CZECHOSLOVAKIA, 4 , 1 , -   , 12 , 2 , 3 , 5 , 1 , 28 ,,,,,,,,,
LATVIA, 4 , -   , 2 , 10 , 4 , 1 , 2 , 4 , 27 ,,,,,,,,,
QATAR, 1 , -   , 2 , 8 , 4 , 4 , 6 , 2 , 27 ,,,,,,,,,
SLOVENIA, 4 , -   , 4 , 6 , 3 , 3 , 4 , 1 , 25 ,,,,,,,,,
BAHRAIN, 1 , 1 , 4 , 12 , 1 , 2 , 3 , -   , 24 ,,,,,,,,,
CONGO (KINSHASA), 3 , -   , 1 , 1 , 12 , 4 , 2 , 1 , 24 ,,,,,,,,,
MALAWI, 2 , -   , 3 , 2 , 3 , 7 , 1 , 5 , 23 ,,,,,,,,,
YEMEN, 2 , 1 , 1 , 2 , 10 , 3 , 2 , 1 , 22 ,,,,,,,,,
BARBADOS, 3 , -   , 2 , 6 , 4 , 3 , 2 , 1 , 21 ,,,,,,,,,
PARAGUAY, 4 , 1 , -   , 2 , 5 , 2 , 4 , 3 , 21 ,,,,,,,,,
SENEGAL, 4 , 1 , 4 , 3 , 7 , 1 , 1 , -   , 21 ,,,,,,,,,
KOSOVO, 1 , -   , -   , 4 , 1 , 3 , 2 , 9 , 20 ,,,,,,,,,
