,,,,,,,,,,,,,,
"Number of Form I-140, Immigrant Petition for Alien Worker Petitions Received and Current Status for All Countries",,,,,,,,,,,,,,
By Fiscal Year Received and Current Status,,,,,,,,,,,,,,
Fiscal Years 2012 to 2022 (Q1-Q2),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,                Fiscal Year Received ,,,,,,,,,,
Petitions by Employment Preference,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 , TOTAL ,,
,,,,,,,,,,,,,,
"Pending, Other1", 41 , 33 , 27 , 37 , 84 , 36 , 44 , 39 , 77 ," 1,134 "," 1,707 "," 3,259 ",,
,,,,,,,,,,,,,,
Approvals by Category,,,,,,,,,,,,,,
Professionals with Advanced Degrees (E21)2," 3,901 "," 3,356 "," 3,965 "," 5,055 "," 7,387 "," 6,251 "," 8,005 "," 10,608 "," 10,572 "," 8,634 "," 3,967 "," 71,701 ",,
,,,,,,,,,,,,,,
Third Preference (EB3),,,,,,,,,,,,,,
Total Petitions, 376 , 419 ," 4,057 "," 1,533 "," 4,026 "," 4,908 "," 4,456 "," 3,993 "," 4,736 "," 10,391 "," 2,319 "," 41,214 ",,
Approved, 355 , 379 ," 3,932 "," 1,335 "," 3,345 "," 4,478 "," 4,253 "," 3,888 "," 4,644 "," 9,134 "," 1,811 "," 37,554 ",,
Denied, 20 , 36 , 79 , 69 , 194 , 121 , 107 , 65 , 78 , 100 , 11 , 880 ,,
"Pending, Other1", 1 , 4 , 46 , 129 , 487 , 309 , 96 , 40 , 14 ," 1,157 ", 497 ," 2,780 ",,
,,,,,,,,,,,,,,
Approvals by Category,,,,,,,,,,,,,,
Skilled Workers (E31), 48 , 85 , 97 , 173 , 402 , 383 , 347 , 417 , 370 , 436 , 153 ," 2,911 ",,
Professionals with Baccalaureate Degrees (E32), 294 , 257 ," 3,807 "," 1,071 "," 2,703 "," 3,935 "," 3,749 "," 3,287 "," 4,160 "," 8,590 "," 1,617 "," 33,470 ",,
Needed Unskilled Workers (EW3), 13 , 37 , 28 , 91 , 240 , 160 , 157 , 184 , 114 , 108 , 41 ," 1,173 ",,
,,,,,,,,,,,,,,
Other and Unknown 3, -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   ,,
Approved, -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   ,,
Denied, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
"Pending, Other1", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
Table Key:,,,,,,,,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,,,,,,,,
References:,,,,,,,,,,,,,,
1 Includes a small number of cases updated as an administrative closure.,,,,,,,,,,,,,,
2 Includes National Interest Waiver petitions.,,,,,,,,,,,,,,
3 Includes any I-140 that had no reason for filing listed in the system. ,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,
1) Petitions received in one reporting period may be approved or denied in subsequent reporting periods.,,,,,,,,,,,,,,
2) This report reflects the most up-to-date estimate available at the time the database is queried.,,,,,,,,,,,,,,
3) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,,,
4) Data is not limited by priority date for approvals.,,,,,,,,,,,,,,
"5) In FY2012 USCIS added a reason for filing field to determine the difference for E31 and E32.
",,,,,,,,,,,,,,
"   For 2012 and prior, the report uses the class preference field to determine an E31 or E32 approval.",,,,,,,,,,,,,,
"   For the small number where the class preference field was not determinative as E31 or E32, the case was counted as an E31. ",,,,,,,,,,,,,,
"6) Top five countries are determined by total number of receipts in FY2021 and they are India, China, the Philippines, South Korea, and Brazil.",,,,,,,,,,,,,,
"7) This report is based on the fiscal year in which the petition was submitted to USCIS, not the fiscal year in which the petition was adjudicated.  A petition may be adjudicated in a later fiscal year than it was filed.  ",,,,,,,,,,,,,,
"   Therefore, this report is different from other reports that are based on the fiscal year in which the petition was adjudicated.",,,,,,,,,,,,,,
"8) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,,,,,
"CLAIMS3, queried 05/2022, TRK 9399",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Number of Form I-140, Immigrant Petition for Alien Worker Petitions Received and Current Status for South Korea",,,,,,,,,,,,,,
By Fiscal Year Received and Current Status,,,,,,,,,,,,,,
Fiscal Years 2012 to 2022 (Q1-Q2),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,               Fiscal Year Received ,,,,,,,,,,
Petitions by Employment Preference,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 , TOTAL ,,
,,,,,,,,,,,,,,
TOTAL," 3,661 "," 3,500 "," 3,866 "," 5,522 "," 9,547 "," 7,677 "," 6,442 "," 5,654 "," 4,816 "," 4,548 "," 2,347 "," 57,580 ",,
,,,,,,,,,,,,,,
Approved," 3,314 "," 3,102 "," 3,342 "," 4,827 "," 7,513 "," 6,283 "," 5,800 "," 5,059 "," 4,312 "," 3,243 "," 1,361 "," 48,156 ",,
Denied, 320 , 346 , 431 , 538 ," 1,004 ", 742 , 526 , 552 , 421 , 105 , 28 ," 5,013 ",,
"Pending, Other1", 27 , 52 , 93 , 157 ," 1,030 ", 652 , 116 , 43 , 83 ," 1,200 ", 958 ," 4,411 ",,
,,,,,,,,,,,,,,
First Preference (EB1),,,,,,,,,,,,,,
Total Petitions, 574 , 697 , 580 , 663 , 746 , 721 , 661 , 518 , 443 , 437 , 251 ," 6,291 ",,
Approved, 473 , 584 , 449 , 559 , 642 , 597 , 538 , 406 , 347 , 238 , 72 ," 4,905 ",,
Denied, 96 , 109 , 126 , 97 , 101 , 122 , 117 , 109 , 84 , 37 , 11 ," 1,009 ",,
"Pending, Other1", 5 , 4 , 5 , 7 , 3 , 2 , 6 , 3 , 12 , 162 , 168 , 377 ,,
,,,,,,,,,,,,,,
Approvals by Category,,,,,,,,,,,,,,
Aliens with Extraordinary Ability (E11), 119 , 151 , 114 , 159 , 188 , 215 , 202 , 105 , 99 , 78 , 41 ," 1,471 ",,
Outstanding Professors or Researchers (E12), 79 , 66 , 51 , 69 , 85 , 103 , 74 , 52 , 29 , 48 , 21 , 677 ,,
Multinational Executives or Managers (E13), 275 , 367 , 284 , 331 , 369 , 279 , 262 , 249 , 219 , 112 , 10 ," 2,757 ",,
,,,,,,,,,,,,,,
Second Preference (EB2),,,,,,,,,,,,,,
Total Petitions," 2,522 "," 2,133 "," 2,353 "," 2,770 "," 3,075 "," 2,546 "," 2,394 "," 2,374 "," 2,336 "," 2,062 "," 1,069 "," 25,634 ",,
Approved," 2,347 "," 1,954 "," 2,145 "," 2,483 "," 2,730 "," 2,210 "," 2,153 "," 2,042 "," 2,001 "," 1,301 ", 474 ," 21,840 ",,
Denied, 167 , 164 , 186 , 243 , 299 , 307 , 224 , 320 , 276 , 39 , 10 ," 2,235 ",,
"Pending, Other1", 8 , 15 , 22 , 44 , 46 , 29 , 17 , 12 , 59 , 722 , 585 ," 1,559 ",,
,,,,,,,,,,,,,,
Approvals by Category,,,,,,,,,,,,,,
Professionals with Advanced Degrees (E21)2," 2,347 "," 1,954 "," 2,145 "," 2,483 "," 2,730 "," 2,210 "," 2,153 "," 2,042 "," 2,001 "," 1,301 ", 474 ," 21,840 ",,
,,,,,,,,,,,,,,
Third Preference (EB3),,,,,,,,,,,,,,
Total Petitions, 565 , 670 , 933 ," 2,089 "," 5,724 "," 4,409 "," 3,386 "," 2,762 "," 2,037 "," 2,049 "," 1,027 "," 25,651 ",,
Approved, 494 , 564 , 748 ," 1,785 "," 4,140 "," 3,476 "," 3,108 "," 2,611 "," 1,964 "," 1,704 ", 815 ," 21,409 ",,
Denied, 57 , 73 , 119 , 198 , 603 , 312 , 185 , 123 , 61 , 29 , 7 ," 1,767 ",,
"Pending, Other1", 14 , 33 , 66 , 106 , 981 , 621 , 93 , 28 , 12 , 316 , 205 ," 2,475 ",,
,,,,,,,,,,,,,,
Approvals by Category,,,,,,,,,,,,,,
Skilled Workers (E31), 257 , 314 , 382 , 730 ," 1,459 "," 1,072 ", 867 , 732 , 565 , 445 , 208 ," 7,031 ",,
Professionals with Baccalaureate Degrees (E32), 205 , 194 , 237 , 495 ," 1,165 "," 1,148 "," 1,253 "," 1,092 ", 852 , 782 , 356 ," 7,779 ",,
Needed Unskilled Workers (EW3), 32 , 56 , 129 , 560 ," 1,516 "," 1,256 ", 988 , 787 , 547 , 477 , 251 ," 6,599 ",,
,,,,,,,,,,,,,,
Other and Unknown3, -   , -   , -   , -   , 2 , 1 , 1 , -   , -   , -   , -   , 4 ,,
