file_hash_sha256,sheet_index,sheet_name,max_row,max_column,detected_table_type,detection_confidence
0ec94d473388c527b95018012e5bde8e9a12da52bf63d3c392d7980d8349f837,0,CSV,197,10,country_category,0.8500
1b851a5118ff95800a00ec4ffc2a09d1eadecfaf9213961127a988fc27429bf6,0,CSV,191,10,country_category,0.8500
32d38281590a8fe206f0c354df8ae78da080f7bdb0ac133131a88ae95e450eb7,0,CSV,199,10,country_category,0.8500
bcc5eaba57845418e79c704bfd827127ba7205c8ba78164f5147c05f7b9c1876,0,CSV,35,17,fy_quarter_status,0.8500
aae5687aee6e6193bda6483d50e20356bed969483c59eca78435934d4bf582c9,0,CSV,198,10,country_category,0.8500
7e2b9fd15a814e0e092f4f10b81e70faac589898319166eb0baa081c4335ce72,0,RADP Summary,35,17,fy_quarter_status,0.9500
7e2b9fd15a814e0e092f4f10b81e70faac589898319166eb0baa081c4335ce72,1,Rec-State,71,14,fy_quarter_status,0.9500
7e2b9fd15a814e0e092f4f10b81e70faac589898319166eb0baa081c4335ce72,2,Rec-COB,197,14,fy_quarter_status,0.9500
7e2b9fd15a814e0e092f4f10b81e70faac589898319166eb0baa081c4335ce72,3,App-State,75,19,fy_quarter_status,0.9500
7e2b9fd15a814e0e092f4f10b81e70faac589898319166eb0baa081c4335ce72,4,App-COB,196,14,fy_quarter_status,0.9500
f747f9cc3fd7dd845b31b35275939508b0f96693057190255a81ad405681251d,0,RADP Summary,35,17,fy_quarter_status,0.9500
f747f9cc3fd7dd845b31b35275939508b0f96693057190255a81ad405681251d,1,Rec-State,71,14,fy_quarter_status,0.9500
f747f9cc3fd7dd845b31b35275939508b0f96693057190255a81ad405681251d,2,Rec-COB,189,14,fy_quarter_status,0.9500
f747f9cc3fd7dd845b31b35275939508b0f96693057190255a81ad405681251d,3,App-State,75,19,fy_quarter_status,0.9500
f747f9cc3fd7dd845b31b35275939508b0f96693057190255a81ad405681251d,4,App-COB,192,14,fy_quarter_status,0.9500
9729b137fb0a6867bc67e864c124162b7670de6425891ef04490bee85a1fbe13,0,PDF Text,408,1,preference_country,0.7000
fd49158ac81ad27dfd3f0253bc56829c17269129576254c03ad3384fb1c6bb1f,0,PDF Text,288,1,preference_country,0.7000
