fiscal_year,fiscal_quarter,type,type_name,received,approved,denied,pending,approval_rate_received_basis,denial_rate_received_basis,approval_rate_decided_basis,denial_rate_decided_basis,pending_share,source_report_quarter,source_file_names,period,period_label,decided,approval_decided,denial_decided,approval_received,denial_received
2023,3,NIW,National Interest Waiver,10527,7398,2200,17264,0.7027643203191792,0.2089864158829676,0.7707855803292352,0.2292144196707647,1.6399734017288876,4,i140_fy23_q4_radp.csv,2023Q3,2023 Q3,9598,0.7707855803292353,0.22921441967076475,0.7027643203191792,0.2089864158829676
2023,3,TOTAL,Total,52071,41247,4726,53190,0.7921299763784064,0.0907606921318968,0.8972005307463076,0.1027994692536923,1.0214898888056692,4,i140_fy23_q4_radp.csv,2023Q3,2023 Q3,45973,0.8972005307463076,0.10279946925369239,0.7921299763784064,0.09076069213189683
2023,4,E11,Aliens with Extraordinary Ability,4595,3009,1191,7657,0.6548422198041349,0.2591947769314472,0.7164285714285714,0.2835714285714285,1.6663764961915124,4,i140_fy23_q4_radp.csv,2023Q4,2023 Q4,4200,0.7164285714285714,0.2835714285714286,0.6548422198041349,0.2591947769314472
2023,4,EB1,First Preference,10216,7959,1435,14473,0.77907204385278,0.1404659357870007,0.8472429210134128,0.1527570789865871,1.4166992952231792,4,i140_fy23_q4_radp.csv,2023Q4,2023 Q4,9394,0.8472429210134128,0.1527570789865872,0.77907204385278,0.14046593578700078
2023,4,EB2,Second Preference,26227,18921,4151,28550,0.7214321119457048,0.1582720097609333,0.8200849514563106,0.1799150485436893,1.088572844778282,4,i140_fy23_q4_radp.csv,2023Q4,2023 Q4,23072,0.8200849514563107,0.1799150485436893,0.7214321119457048,0.1582720097609334
2023,4,NIW,National Interest Waiver,12349,7677,2943,19117,0.6216697708316462,0.2383188922179933,0.7228813559322033,0.2771186440677966,1.548060571706211,4,i140_fy23_q4_radp.csv,2023Q4,2023 Q4,10620,0.7228813559322034,0.2771186440677966,0.6216697708316463,0.23831889221799335
2023,4,TOTAL,Total,51288,39755,6248,60552,0.775132584620184,0.121821868663235,0.8641827706888681,0.1358172293111318,1.1806270472625175,4,i140_fy23_q4_radp.csv,2023Q4,2023 Q4,46003,0.8641827706888681,0.13581722931113188,0.7751325846201841,0.12182186866323506
2024,1,E11,Aliens with Extraordinary Ability,4704,2928,1067,8088,0.6224489795918366,0.226828231292517,0.7329161451814769,0.2670838548185231,1.719387755102041,4,i140_fy2024_q4.xlsx,2024Q1,2024 Q1,3995,0.7329161451814769,0.26708385481852315,0.6224489795918368,0.226828231292517
2024,1,EB1,First Preference,9678,7529,1233,14996,0.7779499896672866,0.1274023558586484,0.8592787034923532,0.1407212965076466,1.549493697044844,4,i140_fy2024_q4.xlsx,2024Q1,2024 Q1,8762,0.8592787034923534,0.14072129650764664,0.7779499896672867,0.12740235585864848
2024,1,EB2,Second Preference,27605,18920,2756,34333,0.6853830827748596,0.0998369860532512,0.8728547702528141,0.1271452297471858,1.243723963050172,4,i140_fy2024_q4.xlsx,2024Q1,2024 Q1,21676,0.8728547702528142,0.12714522974718584,0.6853830827748596,0.09983698605325123
2024,1,NIW,National Interest Waiver,14264,7996,2423,22756,0.5605720695457094,0.1698681996634885,0.7674440925232747,0.2325559074767252,1.5953449242849131,4,i140_fy2024_q4.xlsx,2024Q1,2024 Q1,10419,0.7674440925232748,0.23255590747672522,0.5605720695457095,0.1698681996634885
2024,1,TOTAL,Total,55590,38696,4320,71049,0.6960964202194639,0.077711818672423,0.8995722521852334,0.1004277478147665,1.2780895844576363,4,i140_fy2024_q4.xlsx,2024Q1,2024 Q1,43016,0.8995722521852334,0.1004277478147666,0.6960964202194639,0.07771181867242309
2024,2,E11,Aliens with Extraordinary Ability,5364,3112,1263,8992,0.5801640566741237,0.2354586129753914,0.7113142857142857,0.2886857142857142,1.6763609246830724,4,i140_fy2024_q4.xlsx,2024Q2,2024 Q2,4375,0.7113142857142857,0.28868571428571427,0.5801640566741237,0.2354586129753915
2024,2,EB1,First Preference,11505,8226,1453,16789,0.714993481095176,0.1262929161234245,0.8498811860729414,0.1501188139270585,1.4592785745328118,4,i140_fy2024_q4.xlsx,2024Q2,2024 Q2,9679,0.8498811860729414,0.1501188139270586,0.714993481095176,0.1262929161234246
2024,2,EB2,Second Preference,28834,19896,3263,40802,0.6900187278906846,0.1131650135256988,0.8591044518329806,0.1408955481670193,1.415065547617396,4,i140_fy2024_q4.xlsx,2024Q2,2024 Q2,23159,0.8591044518329807,0.1408955481670193,0.6900187278906846,0.11316501352569883
2024,2,NIW,National Interest Waiver,16437,8052,2572,28694,0.4898704143091805,0.1564762426233497,0.757906626506024,0.2420933734939759,1.745695686560808,4,i140_fy2024_q4.xlsx,2024Q2,2024 Q2,10624,0.7579066265060241,0.24209337349397592,0.4898704143091805,0.15647624262334975
2024,2,TOTAL,Total,61386,42554,5269,85806,0.6932199524321506,0.0858339034959111,0.8898228885682621,0.1101771114317378,1.3978105757013,4,i140_fy2024_q4.xlsx,2024Q2,2024 Q2,47823,0.8898228885682621,0.11017711143173786,0.6932199524321506,0.08583390349591112
2024,3,E11,Aliens with Extraordinary Ability,4331,2857,1225,9210,0.659662895405218,0.282844608635419,0.6999020088192062,0.3000979911807937,2.126529669822212,4,i140_fy2024_q4.xlsx,2024Q3,2024 Q3,4082,0.6999020088192063,0.3000979911807937,0.6596628954052182,0.28284460863541905
2024,3,EB1,First Preference,8864,7627,1375,16677,0.860446750902527,0.1551218411552346,0.8472561652966007,0.1527438347033992,1.8814305054151623,4,i140_fy2024_q4.xlsx,2024Q3,2024 Q3,9002,0.8472561652966007,0.15274383470339925,0.8604467509025271,0.15512184115523467
2024,3,EB2,Second Preference,27837,18491,3155,47536,0.6642597981104285,0.1133383626109135,0.8542455880994179,0.145754411900582,1.7076552789452886,4,i140_fy2024_q4.xlsx,2024Q3,2024 Q3,21646,0.8542455880994179,0.14575441190058208,0.6642597981104286,0.11333836261091353
2024,3,NIW,National Interest Waiver,14235,6082,2834,34118,0.4272567615033368,0.1990867579908675,0.6821444593988335,0.3178555406011664,2.3967685282753775,4,i140_fy2024_q4.xlsx,2024Q3,2024 Q3,8916,0.6821444593988335,0.31785554060116644,0.42725676150333686,0.19908675799086759
2024,3,TOTAL,Total,54487,39608,4851,96997,0.7269256886963862,0.0890304109237065,0.8908882341033311,0.1091117658966688,1.7801860994365628,4,i140_fy2024_q4.xlsx,2024Q3,2024 Q3,44459,0.8908882341033312,0.10911176589666884,0.7269256886963863,0.08903041092370657
2024,4,E11,Aliens with Extraordinary Ability,5767,3334,1148,10586,0.578116871857118,0.1990636379400034,0.7438643462739848,0.2561356537260151,1.8356164383561644,4,i140_fy2024_q4.xlsx,2024Q4,2024 Q4,4482,0.7438643462739848,0.25613565372601516,0.5781168718571181,0.19906363794000348
2024,4,EB1,First Preference,11119,7959,1309,18735,0.7158017807356776,0.1177264142458854,0.8587613293051359,0.141238670694864,1.6849536828851517,4,i140_fy2024_q4.xlsx,2024Q4,2024 Q4,9268,0.8587613293051359,0.14123867069486404,0.7158017807356777,0.11772641424588542
2024,4,EB2,Second Preference,29693,16885,3791,57292,0.5686525443707271,0.1276731889670966,0.8166473205649061,0.1833526794350938,1.929478328225508,4,i140_fy2024_q4.xlsx,2024Q4,2024 Q4,20676,0.8166473205649062,0.18335267943509384,0.5686525443707271,0.12767318896709662
